  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
   36.5145569       6.04110193       2.75739431E-02   3.10449162E-03
   36.6566391       6.06283379       2.75658742E-02  -6.27203553E-04
   36.7987175       6.08479691       2.75589190E-02  -1.19445496E-03
   36.9407997       6.10688925       2.75525935E-02   1.63329794E-04
   37.0828781       6.12882233       2.75456067E-02   3.36436846E-04
   37.2249603       6.15059614       2.75379568E-02   2.84763821E-03
   37.3670387       6.17178679       2.75277663E-02   3.49183887E-04
   37.5091171       6.19331026       2.75191329E-02   4.29113209E-03
   37.6511993       6.21558189       2.75138728E-02  -1.61905051E-03
   37.7932777       6.23790789       2.75088940E-02  -8.45017261E-04
   37.9353600       6.26034641       2.75044478E-02   4.32784087E-04
   38.0774384       6.28277588       2.74999943E-02  -3.43744247E-03
   38.2195168       6.30524445       2.74957437E-02  -9.27422152E-05
   38.3615990       6.32744074       2.74903420E-02  -6.08555216E-04
   38.5036774       6.34980392       2.74857040E-02   2.03936943E-03
   38.6457596       6.37244987       2.74823159E-02   1.04875024E-03
   38.7878380       6.39494085       2.74782907E-02  -1.92031160E-03
   38.9299202       6.41743469       2.74743028E-02   1.74303865E-03
   39.0719986       6.43909550       2.74667945E-02  -2.23951228E-03
   39.2140770       6.46112442       2.74609067E-02   2.29318487E-03
   39.3561592       6.48326254       2.74555180E-02  -4.26084083E-03
   39.4982376       6.50528383       2.74496805E-02   3.70564545E-03
   39.6403198       6.52736998       2.74441522E-02  -1.21169188E-03
   39.7823982       6.54954958       2.74390578E-02  -1.02280243E-03
   39.9244766       6.57199812       2.74351258E-02   7.73741980E-04
   40.0665588       6.59480333       2.74327006E-02   1.44814840E-03
   40.2086372       6.61764479       2.74304431E-02  -2.11577816E-03
   40.3507195       6.64021158       2.74270698E-02  -5.52482030E-04
   40.4927979       6.66216993       2.74212137E-02  -3.52739892E-03
   40.6348801       6.68316364       2.74114404E-02   1.91501039E-03
   40.7769585       6.70501804       2.74052583E-02   4.38819965E-03
   40.9190369       6.72723341       2.74005849E-02   8.52117373E-04
   41.0611191       6.74963856       2.73967143E-02  -1.93650613E-03
   41.2031975       6.77206564       2.73929629E-02   3.10642389E-03
   41.3452797       6.79443836       2.73890123E-02  -1.96634373E-03
   41.4873581       6.81666803       2.73845196E-02  -1.68118929E-03
   41.6294365       6.83828259       2.73775943E-02  -1.21478399E-03
   41.7715187       6.86018562       2.73718610E-02   2.13584094E-03
   41.9135971       6.88214827       2.73664109E-02  -2.11900857E-04
   42.0556793       6.90352249       2.73586605E-02  -3.55118560E-03
   42.1977577       6.92445278       2.73492113E-02  -1.65297697E-05
   42.3398399       6.94491386       2.73379795E-02  -2.61724321E-03
   42.4819183       6.96457958       2.73237024E-02   4.27207764E-04
   42.6239967       6.98407507       2.73088533E-02  -1.07490038E-03
   42.7660789       7.00310040       2.72922721E-02  -7.37869937E-04
   42.9081573       7.02243042       2.72769835E-02   2.48962478E-03
   43.0502396       7.04167747       2.72614714E-02   1.09807483E-03
   43.1923180       7.06032658       2.72437595E-02   1.76734582E-03
   43.3343964       7.07889748       2.72258613E-02  -6.80732948E-04
   43.4764786       7.09718800       2.72070002E-02  -1.46576168E-03
   43.6185570       7.11457634       2.71848235E-02  -1.71471457E-03
   43.7606392       7.13292074       2.71664243E-02   1.83660083E-03
   43.9027176       7.15160751       2.71494482E-02  -1.21711253E-03
   44.0447998       7.17003345       2.71315929E-02   6.70585723E-04
   44.1868782       7.18785238       2.71115638E-02  -1.07831776E-03
   44.3289566       7.20568085       2.70916987E-02  -1.40947188E-04
   44.4710388       7.22408199       2.70741079E-02  -7.77576293E-04
   44.6131172       7.24217081       2.70554610E-02   1.32892223E-03
   44.7551994       7.26056910       2.70380843E-02  -1.50145637E-03
   44.8972778       7.27927256       2.70219520E-02   3.63424304E-03
   45.0393562       7.29807854       2.70063002E-02  -6.82825157E-06
   45.1814384       7.31642580       2.69890558E-02  -1.45338639E-03
   45.3235168       7.33459187       2.69712508E-02  -7.80280505E-04
   45.4655991       7.35347176       2.69561764E-02   4.65606572E-04
   45.6076775       7.37209940       2.69402731E-02   1.19118986E-03
   45.7497597       7.39088631       2.69250460E-02   2.12488565E-04
   45.8918381       7.40936232       2.69087888E-02  -6.28573878E-04
   46.0339165       7.42827559       2.68942136E-02   1.66226877E-03
   46.1759987       7.44718695       2.68797167E-02   2.73990794E-04
   46.3180771       7.46589804       2.68645957E-02   2.15115678E-03
   46.4601593       7.48481369       2.68502943E-02   3.30982846E-04
   46.6022377       7.50405884       2.68372614E-02  -4.11402946E-03
   46.7443199       7.52320051       2.68239398E-02   3.04721668E-03
   46.8863983       7.54211712       2.68098973E-02   1.34268892E-03
   47.0284767       7.56105852       2.67960280E-02   2.46835290E-03
   47.1705589       7.58021736       2.67830100E-02   2.03160383E-03
   47.3126373       7.60071421       2.67747846E-02  -3.43479286E-03
   47.4547195       7.62104368       2.67660189E-02  -1.24535395E-03
   47.5967979       7.64088392       2.67555956E-02   1.00741873E-03
   47.7388763       7.66096210       2.67460626E-02   4.94021107E-04
   47.8809586       7.68075466       2.67355908E-02  -1.85144600E-03
   48.0230370       7.69954491       2.67217066E-02   2.59659369E-03
   48.1651192       7.71824551       2.67075896E-02  -1.59375031E-05
   48.3071976       7.73699999       2.66937427E-02   2.24956035E-04
   48.4492798       7.75535393       2.66786013E-02   9.74690367E-04
   48.5913582       7.77370024       2.66635213E-02   5.13202744E-04
   48.7334366       7.79145241       2.66464967E-02  -1.93484908E-03
   48.8755188       7.80916500       2.66294368E-02  -2.07284233E-03
   49.0175972       7.82640743       2.66108755E-02  -6.06067515E-05
   49.1596794       7.84394884       2.65934374E-02  -8.41802830E-06
   49.3017578       7.86144352       2.65759397E-02   1.08489301E-03
   49.4438362       7.87857580       2.65573226E-02   1.46678605E-04
   49.5859184       7.89520788       2.65371315E-02  -1.39789612E-04
   49.7279968       7.91235256       2.65187714E-02  -1.95371933E-04
   49.8700790       7.92858887       2.64974833E-02  -6.92578149E-04
   50.0121574       7.94369268       2.64725387E-02  -2.55202386E-03
   50.1542397       7.95981359       2.64511146E-02   2.21237936E-03
   50.2963181       7.97638178       2.64312997E-02  -3.92942486E-04
